Order_ID;Customer_Name;Return;Sales_Amount
AU-2015-30;Poole Lucas;Yes;$117,00
AU-2015-50;Hernandez Badders;Yes;$250,00
AU-2015-59;Kelly Braden;Yes;$250,00
AU-2015-97;Hatfield Trafton;Yes;$54,00
AU-2015-124;Bullock Prost;Yes;$54,00
AU-2015-152;Andrews Daniels;Yes;$114,00
AU-2015-172;Mathis Mccarthy;Yes;$140,00
AU-2015-183;Bates Gockenbach;Yes;$117,00
AU-2015-236;Ruiz Darley;Yes;$211,00
AU-2015-244;Russell Buch;Yes;$140,00
AU-2015-247;Armstrong Dawkins;Yes;$118,00
AU-2015-250;Gilmore Norris;Yes;$54,00
AU-2015-264;Park Macintyre;Yes;$117,00
AU-2015-278;Ross Braxton;Yes;$114,00
AU-2015-300;Atkinson Ryan;Yes;$117,00
AU-2015-348;Foster Brown;Yes;$72,00
AU-2015-363;Mcintyre Yedwab;Yes;$117,00
AU-2015-364;Reese Huthwaite;Yes;$118,00
AU-2015-367;Blackwell Rawles;Yes;$54,00
AU-2015-383;Turner Becker;Yes;$250,00
AU-2015-393;Weiss Shariari;Yes;$72,00
AU-2015-394;Booker Russell;Yes;$54,00
AU-2015-397;Carroll Dahlen;Yes;$140,00
AU-2015-423;Randall Murry;Yes;$231,00
AU-2015-478;Oneal Norvell;Yes;$140,00
AU-2015-511;Glass Schmidt;Yes;$54,00
AU-2015-512;Crawford Chand;Yes;$114,00
AU-2015-517;Farmer Hood;Yes;$118,00
AU-2015-596;Mccall Smayling;Yes;$211,00
AU-2015-606;Richardson Blackwell;Yes;$117,00
AU-2015-629;Mcgee Holt;Yes;$114,00
AU-2015-651;Fleming Foster;Yes;$117,00
AU-2015-662;Dawson Granlund;Yes;$250,00
AU-2015-761;Calhoun Poirier;Yes;$250,00
AU-2015-859;Wise Koutras;Yes;$118,00
AU-2015-868;Lyons Hane;Yes;$118,00
AU-2015-873;Velez Takahito;Yes;$231,00
AU-2015-907;Norman Joy;Yes;$54,00
AU-2015-939;Jenkins Brennan;Yes;$117,00
AU-2015-1079;Conway Seio;Yes;$114,00
AU-2015-1137;Patel Poddar;Yes;$117,00
AU-2015-1241;Wilkinson Rupert;Yes;$114,00
AU-2015-1257;Payne Crebassa;Yes;$72,00
AU-2015-1763;Meyers Pelletier;Yes;$114,00
AU-2015-1789;Walter Seio;Yes;$54,00
AU-2015-2039;Dickerson Moray;Yes;$250,00
AU-2015-2625;Hensley O'Rourke;Yes;$72,00
AU-2015-3559;Patrick Maddox;Yes;$118,00
AU-2015-4211;Perez Barton;Yes;$114,00
AU-2015-6576;Ochoa Willingham;Yes;$118,00
