Order_ID;Customer_Name;Return;Sales_Amount
AU-2015-7;Mcconnell Tom;Yes;$54,00
AU-2015-10;Shepard Witt;Yes;$140,00
AU-2015-26;Freeman Castell;Yes;$114,00
AU-2015-29;Everett Sweed;Yes;$211,00
AU-2015-45;Hess Prescott;Yes;$231,00
AU-2015-65;Knox Sayre;Yes;$211,00
AU-2015-77;Bruce Nunn;Yes;$250,00
AU-2015-83;Golden Ritter;Yes;$211,00
AU-2015-96;Stokes Knudson;Yes;$72,00
AU-2015-101;Cook Bern;Yes;$211,00
AU-2015-109;Porter Cazamias;Yes;$140,00
AU-2015-161;Montoya Ritter;Yes;$114,00
AU-2015-184;House Stevenson;Yes;$118,00
AU-2015-199;Cherry Workman;Yes;$140,00
AU-2015-205;Mejia Waldorf;Yes;$54,00
AU-2015-240;Wright Baird;Yes;$72,00
AU-2015-254;Schmidt Dominguez;Yes;$211,00
AU-2015-282;Hunt Cohen;Yes;$117,00
AU-2015-319;Cannon Hwang;Yes;$118,00
AU-2015-322;May Französisch;Yes;$54,00
AU-2015-328;Meadows Wiener;Yes;$118,00
AU-2015-334;Oneill Williams;Yes;$140,00
AU-2015-353;Espinoza Mull;Yes;$211,00
AU-2015-356;Sloan Shillingsburg;Yes;$250,00
AU-2015-404;Hardin Roach;Yes;$114,00
AU-2015-419;Marquez Miller;Yes;$250,00
AU-2015-429;Burns Chung;Yes;$72,00
AU-2015-441;Mercado Stivers;Yes;$231,00
AU-2015-443;Sheppard Tate;Yes;$211,00
AU-2015-445;Walker Ashbrook;Yes;$118,00
AU-2015-458;Roberts Bavinger;Yes;$114,00
AU-2015-487;Pruitt Reiter;Yes;$140,00
AU-2015-605;Bishop Dunbar;Yes;$211,00
AU-2015-610;Goodwin Jackson;Yes;$54,00
AU-2015-624;Black Collins;Yes;$117,00
AU-2015-640;Moody Kargatis;Yes;$140,00
AU-2015-649;Dotson Weiss;Yes;$140,00
AU-2015-654;Benton Ward;Yes;$72,00
AU-2015-707;Bradshaw Swindell;Yes;$250,00
AU-2015-720;Jacobson Willingham;Yes;$231,00
AU-2015-786;Little Ellison;Yes;$117,00
AU-2015-792;Navarro Preis;Yes;$231,00
AU-2015-802;Carlson Flentye;Yes;$140,00
AU-2015-822;Combs Ober;Yes;$117,00
AU-2015-866;Boyd Chapman;Yes;$211,00
AU-2015-979;Buchanan Liston;Yes;$54,00
AU-2015-1260;Nguyen Emerson;Yes;$231,00
AU-2015-1293;Kennedy Cheatham;Yes;$72,00
AU-2015-1295;Mcdonald Carroll;Yes;$114,00
AU-2015-1327;Frazier Ferguson;Yes;$118,00
AU-2015-1901;Burgess Hernandez;Yes;$211,00
AU-2015-1978;Vaughn Grady;Yes;$54,00
AU-2015-2024;Noble Stewart;Yes;$114,00
AU-2015-2304;Baker Barcio;Yes;$231,00
AU-2015-2606;Hicks Chand;Yes;$250,00
AU-2015-2764;Potter Irving;Yes;$140,00
AU-2015-2765;Estes Takahito;Yes;$211,00
AU-2015-2891;Kirk Murray;Yes;$211,00
AU-2015-2991;Shepherd Patel;Yes;$117,00
AU-2015-3684;Buckley Wasserman;Yes;$117,00
AU-2015-4346;Koch Vanderzanden;Yes;$114,00
AU-2015-4408;Cardenas Yedwab;Yes;$54,00
AU-2015-4480;Peck ;Yes;$54,00
AU-2015-4554;Washington Brown;Yes;$231,00
El-2015-197;Pitts Miller;Yes;$199,00
El-2015-488;Jennings Gardner;Yes;$250,00
